F1_256x,,F2_256x,,F3_256X,,F4_256x,,F5_256x,,F6_256x,,F7_256x,,F8_256x,,Clear_512x,,NIR_64x,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
394.2553191489361,0,419.78723404255317,-0.004739336492891155,441.063829787234,0,461.27659574468083,-0.004739336492891155,499.57446808510633,0,540,0,559.1489361702127,0.004739336492890711,597.4468085106382,0,381.48936170212767,0,789.9999999999999,0.004739336492890711
404.89361702127655,0.06635071090047373,430.4255319148936,0.12796208530805653,450.6382978723404,0.02843601895734582,474.04255319148933,0.0142180094786728,513.4042553191489,0.018957345971563733,553.8297872340426,0.02843601895734582,576.1702127659573,0.02843601895734582,616.5957446808511,0.0142180094786728,395.3191489361702,0.05213270142180071,821.9148936170212,0.02843601895734582
410.2127659574468,0.13270142180094768,437.8723404255319,0.24644549763033163,457.02127659574467,0.10426540284360164,484.6808510638298,0.04265402843601884,522.9787234042553,0.056872037914691864,564.4680851063829,0.12322274881516582,587.8723404255319,0.08530805687203769,632.5531914893617,0.05213270142180071,411.2765957446808,0.22274881516587652,849.5744680851063,0.08530805687203769
418.7234042553191,0.1611374407582935,442.12765957446805,0.29383886255924163,466.595744680851,0.29857819905213256,494.2553191489361,0.1563981042654028,532.5531914893617,0.17061611374407581,575.1063829787233,0.3507109004739335,600.6382978723404,0.2511848341232228,642.127659574468,0.13744075829383884,464.46808510638294,0.38388625592417047,869.7872340425531,0.17535545023696653
426.17021276595744,0.13744075829383884,449.57446808510633,0.29857819905213256,469.78723404255317,0.35545023696682443,505.9574468085106,0.39336492890995234,540,0.3364928909952605,581.4893617021276,0.5639810426540282,614.4680851063829,0.5971563981042652,650.6382978723404,0.35545023696682443,528.2978723404256,0.5402843601895733,884.6808510638298,0.2796208530805686
431.48936170212767,0.08056872037914653,454.89361702127655,0.24170616113744048,477.23404255319144,0.3744075829383886,511.27659574468083,0.46445497630331745,547.4468085106382,0.5355450236966823,584.6808510638298,0.6398104265402843,619.7872340425531,0.7203791469194311,662.3404255319149,0.7203791469194311,602.7659574468084,0.6872037914691942,899.5744680851063,0.3601895734597156
435.7446808510638,0.03791469194312769,463.4042553191489,0.11374407582938373,484.6808510638298,0.3507109004739335,516.5957446808511,0.4834123222748814,549.5744680851063,0.5781990521327014,588.936170212766,0.6635071090047393,627.2340425531914,0.7535545023696681,670.8510638297872,0.95260663507109,679.3617021276596,0.824644549763033,908.0851063829787,0.3649289099526063
442.12765957446805,0,467.65957446808505,0.04739336492891,493.1914893617021,0.26066350710900466,521.9148936170213,0.4597156398104265,553.8297872340426,0.5876777251184833,595.3191489361702,0.6350710900473931,633.6170212765958,0.7203791469194311,674.0425531914893,0.9905213270142179,726.1702127659574,0.872037914691943,913.4042553191489,0.39336492890995234
,,474.04255319148933,0,503.82978723404256,0.08056872037914653,530.4255319148936,0.38388625592417047,559.1489361702127,0.5687203791469193,602.7659574468084,0.5308056872037914,643.191489361702,0.6018957345971563,682.5531914893617,0.995260663507109,764.4680851063829,0.881516587677725,918.7234042553191,0.3981042654028435
,,,,509.1489361702128,0.03791469194312769,540,0.18957345971563977,566.595744680851,0.5071090047393365,614.4680851063829,0.2701421800947865,657.0212765957447,0.34597156398104256,686.8085106382978,0.938388625592417,800.6382978723404,0.848341232227488,941.063829787234,0.3175355450236965
,,,,520.8510638297872,0,546.3829787234042,0.08530805687203769,571.9148936170213,0.3981042654028435,624.0425531914893,0.10426540284360164,666.5957446808511,0.16587677725118466,695.3191489361702,0.8199052132701421,834.6808510638298,0.791469194312796,953.8297872340424,0.26066350710900466
,,,,,,555.9574468085107,0.033175355450236754,580.4255319148936,0.2037914691943128,635.7446808510638,0.04265402843601884,678.2978723404254,0.08056872037914653,705.9574468085107,0.5734597156398102,869.7872340425531,0.6824644549763031,977.2340425531914,0.18483412322274861
,,,,,,565.5319148936169,0.009478672985781866,586.8085106382978,0.10426540284360164,645.3191489361702,0.004739336492890711,695.3191489361702,0.03791469194312769,713.4042553191489,0.3317535545023693,907.0212765957447,0.5497630331753554,992.1276595744681,0.13744075829383884
,,,,,,577.2340425531914,0,597.4468085106382,0.033175355450236754,,,724.0425531914893,0.009478672985781866,726.1702127659574,0.1090047393364928,943.1914893617021,0.3981042654028435,1013.4042553191489,0.08530805687203769
,,,,,,,,608.0851063829787,0.004739336492890711,,,,,736.8085106382978,0.04265402843601884,979.3617021276596,0.2559241706161135,1033.6170212765956,0.0616113744075828
,,,,,,,,,,,,,,752.7659574468084,0.009478672985781866,1011.2765957446808,0.15165876777251164,1050.6382978723404,0.04265402843601884
,,,,,,,,,,,,,,,,1049.5744680851062,0.05213270142180071,,
